년월일,업무구분,공장구분,HEAT_NO,LOT_NO,PON,공정순위,주조구분,강종그룹,강종코드,사내강종명,구)사내강종명,강종,품목,형상,용도,표면,열처리,폭,외경,내경,수요가,수요가명,수주번호,수주행번,생산의뢰번호,사내강종명(제강),주설비구분,재료코드,강관소재여부,발생일자,발생구분,발생공정,발생공정명,발생수량,발생중량,원인공정,원인공정명,이상구분,이상코드,이상코드명,이상분류,이상구분,상태코드,조치코드,조치코드명,조치일자,원인공정_작업조,출탕완료일시,주조완료일시,검사완료일시,초말구분,CAST내_수,CAST내_순,STRAND_NO,STRAND_SEQ,지시GR_종류,생산GR_종류,생산GR공정,GR_일자,압연공정1,압연일자1,압연외경1,압연폭1,압연공정2,압연일자2,압연외경2,압연폭2,압연공정3,압연일자3,압연외경3,압연폭3,압연공정4,압연일자4,압연외경4,압연폭4,최종압연공정,최종압연일자,제품압연작업조,생성일시,HCR,투입중량
2023-01-07,2,9,S52465,B2C0638202,D23W1W0141,60,T,SSB,SSB036,STS304H1S5,S304H1,PSS304H2P,W,WR,DQ,PK,SL,5.5,5.5,,S1191,"KOS WIRE CO.,LTD(POHANG)",D2023010150,006,D23W01W1681,STS304H1S5,W,7730,N,2023-01-07,3,9W91,산세,1,200,2Z00,2제강,2,S41,줄파임,제품불량,표면,4,JR,폐기,2023-01-07,,2022-12-04,2022-12-04,2022-12-05,,\2,\1,\3,\4,,,,,8100,2023-01-04,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-04,D,2023-02-02,,
2023-01-07,2,9,S52741,B310050902,D23W1W0369,60,T,SSB,SSB039,STS304HS2,S304H,SUS304H,W,WR,DS,PK,SL,5.5,5.5,,S0394,"D S R CO.,LTD.",D2023010106,003,D23W01W1117,STS304HS2,W,7730,N,2023-01-07,3,9W91,산세,1,155,8100,소형압연,2,H14,권취불량,제품불량,형상,4,JR,폐기,2023-01-07,C,2023-01-03,2023-01-03,2023-01-04,,\7,\4,\6,\2,,,,,8100,2023-01-06,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-06,C,2023-02-02,,
2023-01-08,2,9,S52744,B310060208,E23W1W0126,70,T,SSB,SSB039,STS304HS2,S304H,SUS304H,W,WR,DS,PK,SL,5.5,5.5,,S0863,THAI SEISEN,E2022120142,001,E23W01W0101,STS304HS2,W,7690,N,2023-01-08,3,9W91,산세,1,717,2T00,2제강,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-01-08,,2023-01-03,2023-01-04,2023-01-05,,\7,\7,\4,\7,A,A,8301,2023-01-05,8100,2023-01-06,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-06,D,2023-02-02,,
2023-01-08,2,9,S52744,B310060208,E23W1W0126,70,T,SSB,SSB039,STS304HS2,S304H,SUS304H,W,WR,DS,PK,SL,5.5,5.5,,S0863,THAI SEISEN,E2022120142,001,E23W01W0101,STS304HS2,W,7690,N,2023-01-08,3,9W91,산세,1,716,8T00,소형압연,2,S22,터짐,제품불량,표면,4,RG,수동연마추가,2023-01-08,,2023-01-03,2023-01-04,2023-01-05,,\7,\7,\4,\7,A,A,8301,2023-01-05,8100,2023-01-06,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-06,D,2023-02-02,,
2023-01-08,2,9,S52741,B310051009,D23W1W0369,62,T,SSB,SSB039,STS304HS2,S304H,SUS304H,W,WR,DS,PK,SL,5.5,5.5,,S0394,"D S R CO.,LTD.",D2023010106,003,D23W01W1117,STS304HS2,W,7730,N,2023-01-08,3,9W91,산세,1,97,9700,산세,2,S75,취급흠,제품불량,표면,4,JR,폐기,2023-01-08,B,2023-01-03,2023-01-03,2023-01-04,,\7,\4,\4,\10,,,,,8100,2023-01-06,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-06,C,2023-02-02,,
2023-01-08,2,9,S52741,B310051009,D23W1W0369,62,T,SSB,SSB039,STS304HS2,S304H,SUS304H,W,WR,DS,PK,SL,5.5,5.5,,S0394,"D S R CO.,LTD.",D2023010106,003,D23W01W1117,STS304HS2,W,7730,N,2023-01-08,3,9W91,산세,1,98,8100,소형압연,2,S75,취급흠,제품불량,표면,4,JR,폐기,2023-01-08,C,2023-01-03,2023-01-03,2023-01-04,,\7,\4,\4,\10,,,,,8100,2023-01-06,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-06,C,2023-02-02,,
2023-01-09,2,9,S51768,B2A0672205,D23W1W0252,70,T,SSB,SSB038,STS304H1KS4,S304H1K,PSS304H1K,W,WR,DQ,PK,SL,5.5,5.5,,S0395,KOS LIMITED,D2023010131,012,D23W01W1739,STS304H1KS4,W,7730,N,2023-01-09,3,9W91,산세,1,225,9700,산세,2,S25,파단,제품불량,표면,4,JR,폐기,2023-01-09,C,2022-10-03,2022-10-03,2022-10-04,,\2,\1,,,A,A,8301,2023-01-03,8100,2023-01-04,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-04,D,2023-02-02,,
2023-01-09,2,9,S52770,B310108608,E23W1W0164,70,T,SSA,SSA152,STS304M4S3,S304M4,SUS304M4,W,WR,DH,PK,SL,5.5,5.5,,S0895,SHANDONG TENGDA,E2023010069,001,E23W01W0159,STS304M4S3,W,7730,N,2023-01-09,3,9W91,산세,1,200,8100,소형압연,2,S32,OVERLAP,제품불량,표면,4,JR,폐기,2023-01-09,B,2023-01-06,2023-01-06,2023-01-06,,\1,\1,\5,\6,C,C,8301,2023-01-07,8100,2023-01-09,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-09,B,2023-02-02,,
2023-01-09,2,9,S51768,B2A0672205,D23W1W0252,70,T,SSB,SSB038,STS304H1KS4,S304H1K,PSS304H1K,W,WR,DQ,PK,SL,5.5,5.5,,S0395,KOS LIMITED,D2023010131,012,D23W01W1739,STS304H1KS4,W,7730,N,2023-01-09,3,9W91,산세,1,225,8100,소형압연,2,S25,파단,제품불량,표면,4,JR,폐기,2023-01-09,D,2022-10-03,2022-10-03,2022-10-04,,\2,\1,,,A,A,8301,2023-01-03,8100,2023-01-04,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-04,D,2023-02-02,,
2023-01-09,2,9,S52416,B2C0633209,D23W1W0093,60,T,SFA,SFA010,STS204CUS2,S204CU,PSS204CU,W,WR,DZ,PK,SL,5.5,5.5,,S0393,"HAN KUK STEEL WIRE CO., LTD.",D2023010084,004,D23W01W1276,STS204CUS2,W,7730,N,2023-01-09,3,9W91,산세,1,250,8100,소형압연,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-01-09,C,2022-11-30,2022-12-01,2022-12-01,,\2,\1,\3,\5,,,,,8100,2023-01-08,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-08,C,2023-02-02,,
2023-01-12,2,8,S48316,B1B0273957,E23W1W0018,75,T,SME,SME002,STS420FS2,S420F,SUS420F,W,WR,DM,PK,FA,5.5,5.5,,S1341,JIANGSU TRI-M,E2023010056,005,E23W01W0133,STS420FS2,W,6830,N,2023-01-12,3,8W91,소형압연,1,"1,504",2Z00,2제강,2,S22,터짐,제품불량,표면,4,JR,폐기,2023-01-12,,2021-11-18,2021-11-18,2021-11-20,,\2,\1,,,A,A,8301,2022-12-21,8100,2023-01-09,5.5,0,,,0,0,,,0,0,,,0,0,8100,2023-01-09,D,2023-02-02,,
